RGIId,lon,lat,do_we_have_an_observation_in_middle_fifth,Frontal_ablation_2000_to_2010_gt_per_yr_mean,Frontal_ablation_2000_to_2010_gt_per_yr_mean_err,Frontal_ablation_2010_to_2020_gt_per_yr_mean,Frontal_ablation_2010_to_2020_gt_per_yr_mean_err,Number_of_children
RGI60-05.12537,-31.05365419,68.11836062,0,0.002846549,0.001961863,0.001311577,0.000492715,0
RGI60-05.12538,-31.08464354,68.12201466,0,0.00044877,0.000492836,0.000163855,0.000254802,0
RGI60-05.12543,-31.14197211,68.12888082,0,0.007998842,0.003413094,0.009364744,0.00210013,0
RGI60-05.12555,-31.30695656,68.15620969,0,0.000150047,0.000772647,0.000153622,0.000146872,0
RGI60-05.12584,-31.13893966,68.1825988,0,0.00030861,0.000382149,0.000284502,0.000217585,0
RGI60-05.12710,-30.48911778,68.13746287,0,0.000422225,0.000391583,0.000240063,0.000204195,0
RGI60-05.12717,-30.41159669,68.1593738,0,0.000315041,0.000323176,8.43E-05,0.000131515,0
RGI60-05.12738,-30.32390618,68.13500147,0,0.001214131,0.000812117,0.000498043,0.000515483,0
RGI60-05.12739,-30.4103605,68.17247245,0,8.53E-05,0.000179003,5.07E-05,5.96E-05,0
RGI60-05.12801,-30.39147741,68.21275401,0,7.21E-05,0.00013675,0.000198497,0.000213585,0
RGI60-05.12805,-30.24953464,68.14844429,0,0.003477684,0.001840877,0.002677363,0.001128944,0
RGI60-05.12807,-30.15292594,68.15289722,0,0.002256126,0.000959105,0.001009012,0.000514642,0
RGI60-05.12809,-30.10677018,68.1787344,0,0.003645218,0.00187637,0.002608171,0.000726028,0
RGI60-05.12811,-30.38577541,68.22460896,1,0.0012534,0.000740491,0.00016822,0.00032896,0
RGI60-05.12815,-30.40158728,68.19767237,0,0.000353271,0.000369266,6.88E-05,0.000135849,0
RGI60-05.12824,-30.13873515,68.2125392,0,0.00187467,0.000809091,0.003217533,0.000914466,0
RGI60-05.12828,-30.03280549,68.22865633,0,0.000387001,0.000307136,0.000151344,0.00019293,0
RGI60-05.12833,-29.76758499,68.20943618,0,0.00030738,0.000584608,0.000798284,0.000476726,0
RGI60-05.12840,-30.0234469,68.23805646,0,0.00061528,0.000587314,0.000400824,0.000381328,0
RGI60-05.12843,-30.20205588,68.25754607,0,0.001043372,0.000590692,0.000971322,0.000681701,0
RGI60-05.12848,-30.50644211,68.1872775,0,4.69E-05,7.70E-05,7.83E-05,8.03E-05,0
